,date,balance,equity,load,orders
0,2025-09-23 18:53:00,999953933.48,999953933.48,0.0,GOOG/+98537.0/253.7/ NVDA/ 0/180.03/ 
0,2025-09-23 18:54:00,975118779.85,999948021.26,0.0,GOOG/+96089.0/253.64/ NVDA/ 0/180.11/ 
0,2025-09-23 18:55:00,950917964.35,999949992.0,0.0,GOOG/+93727.0/253.49/ NVDA/ 0/179.97/ 
0,2025-09-23 18:56:00,927308007.22,999944224.94,0.0,GOOG/ 0/253.7/ NVDA/-138703.0/179.94/ 
0,2025-09-23 18:57:00,902580423.82,999909513.11,0.0,GOOG/ 0/253.84/ NVDA/-138703.0/179.98/ 
0,2025-09-23 18:58:00,853148202.63,999871953.83,0.0,GOOG/ 0/253.9/ NVDA/-138703.0/180.03/ 
0,2025-09-23 19:00:00,999845016.83,999845016.83,0.0,GOOG/ 0/254.18/ NVDA/ 0/180.08/ 
0,2025-09-23 19:01:00,999845016.83,999845016.83,0.0,GOOG/ 0/254.08/ NVDA/ 0/180.08/ 
0,2025-09-23 19:02:00,999845016.83,999845016.83,0.0,GOOG/ 0/253.91/ NVDA/ 0/179.84/ 
0,2025-09-23 19:03:00,999845016.83,999845016.83,0.0,GOOG/ 0/253.8/ NVDA/ 0/179.8/ 
0,2025-09-23 19:04:00,999845016.83,999845016.83,0.0,GOOG/ 0/253.78/ NVDA/ 0/179.84/ 
0,2025-09-23 19:05:00,999845016.83,999845016.83,0.0,GOOG/ 0/253.8/ NVDA/ 0/179.75/ 
0,2025-09-23 19:06:00,999845016.83,999845016.83,0.0,GOOG/ 0/253.8/ NVDA/ 0/179.82/ 
0,2025-09-23 19:07:00,999845016.83,999845016.83,0.0,GOOG/-98611.0/253.49/ NVDA/ 0/179.75/ 
0,2025-09-23 19:08:00,950238369.93,999845016.83,0.0,GOOG/-98611.0/253.3/ NVDA/ 0/179.6/ 
0,2025-09-23 19:09:00,900587160.72,999778947.46,0.0,GOOG/-98611.0/253.19/ NVDA/ 0/179.57/ 
0,2025-09-23 19:10:00,850997209.29,999781905.79,0.0,GOOG/-98611.0/253.22/ NVDA/ 0/179.61/ 
0,2025-09-23 19:11:00,776718319.27,999798052.09,0.0,GOOG/-98611.0/253.22/ NVDA/-138703.0/179.47/ 
